fileName,buggy_line,rank,rEFail,rEPass,num_failed_cetest,num_passed_cetest,num_failed_stetest,num_passed_stetest,num_failed_test,failed_tests_coverage_length,num_passed_test_execute_buggy_line,num_failed_test_execute_buggy_line,total_line,bug_id,num_failed_test,type_refail,type_repass
com/fasterxml/jackson/core/util/JsonParserSequence.java,107,254.5,0,0,0,0,0,0,1,396,1,1,34833,jacksoncore016,1,rEFail=0,rEPass=0
com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,717,645,0,0,0,0,0,0,12,1180,3,8,38839,jacksoncore022,12,rEFail=0,rEPass=0
com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java,126,214,0,0,0,0,0,0,1,324,1,1,26006,jacksoncore003,1,rEFail=0,rEPass=0
com/fasterxml/jackson/core/io/IOContext.java,274,11.5,0,NaN,0,0,0,0,1,23,0,1,31198,jacksoncore014,1,rEFail=0,0<rEPass<1
com/fasterxml/jackson/core/JsonPointer.java,193,27.5,0,0,0,0,0,0,1,42,4,1,25683,jacksoncore006,1,rEFail=0,rEPass=0
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser.java,108,101,0,NaN,0,0,0,0,1,206,0,1,41644,jacksoncore026,1,rEFail=0,0<rEPass<1
com/fasterxml/jackson/core/util/TextBuffer.java,307,6,0,0,0,0,0,0,1,15,0,1,27732,jacksoncore008,1,rEFail=0,rEPass=0
com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,238,219,0,NaN,0,0,0,0,3,887,0,3,36852,jacksoncore021,3,rEFail=0,0<rEPass<1
com/fasterxml/jackson/core/util/TextBuffer.java,586,5.5,0,0,0,0,0,0,1,34,1,1,25654,jacksoncore004,1,rEFail=0,rEPass=0
com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer.java,925,11.5,0,0,0,0,0,0,4,687,4,4,30603,jacksoncore010,4,rEFail=0,rEPass=0
